"Doctorate :","Employment Type",Experience,"Functional Area","Industry Type","Job Description",Location,"PG :",Role,"Role Category",Skills,"UG :"
,"Full Time, Permanent","9 - 12 years","Engineering - Hardware & Networks","IT Services & Consulting","Job description
This leader will be a key member of the CIO leadership team driving Hybrid Infrastructure and Multi-Cloud Transformations
This role involves extensive collaboration, engagement, and facilitation with internal infrastructure and application teams as well as vendors
Strong communication and technical skills are required to guide, influence, and properly advise the team
PRIMARY RESPONSIBILITIES
Provide management direction and leadership of all Platform Teams [VMware + DPR Teams] either via direct line or through dotted line influence.
Drive the Platform Team in design, implement & execute projects related to global Hybrid Infrastructure environment which includes.
On-premises data centers
Multi-Cloud Fabric (AWS, GCP, Azure)
VMware Hypervisor
Data Protection & Recover
Enterprise Storage
Per Application Disaster Recovery
Oversee and provide leadership direction during operational incidents, ensuring necessary resourcing and availability of subject matter expertise as well as proactive, business communications.
This leader will be a key member of the CIO leadership team driving Hybrid Infrastructure and Multi-Cloud Transformations.
Continuously optimize the Hybrid Infrastructure from usage and cost perspective and enable changes via Infrastructure as Code using Terraform
Ensure that requests and incidents are accurately documented, escalated, and resolved.
Responsible for platform operations support related issues on a day-to-day basis, and long-term planning for maintaining technologically current, reliable, and cost-effective solutions.
Demonstrate strong leadership, Communication skills, collaborate well within team, India & US.
Maintain systems in accordance with best practices to improve security, reliability and resilience of the systems in production.
Lead IT Transformation for an u0027Always ONu0027 Production management and drive the team towards Automation using PowerShell / Shell / IaC.
Recruit and retain top talent and coach and mentor team members.
Provide employee leadership, guidance, performance feedback and reviews, and individual/career development.
REQUIRED KNOWLEDGE/SKILLS/ABILITIES
Bachelors/ Master s in computer sciences/ IT / or equivalent work experience
Minimum 13+ years of Experience including 5+ Years of Managerial experience.
Experience in handling IT Engineering / Platform Team [Public Clouds + VMware + Storage + Backup Teams]
Good technical
Should have experience on Infra migration projects like P2V, V2V, Cloud Migrations and Transformation
Experience in design, implement & execute DR plans. Using SRM is a Plus.
Experience in managing Hybrid Infrastructure.
Experience in design, implement & execute Data Protection & Recovery strategy. Experience with Dell Products is a Plus.
Confident communicator at all levels (from technicians to senior executives)
Hands-on technical expertise with implementation and administration of platforms is required.
Hands-On experience with Clouds (AWS, GCP, Azure), VMware, Enterprise Storage tools, DPR & DR.
Strong knowledge of Multi Cloud or Hybrid Infrastructure.
ITIL Service Management Foundation V3 certification (or higher)
VCP + Cloud Professional training/experience is a plus.
Hands-on experience with PowerShell / Shell Scripting, Terraform and Infrastructure as Code (IaC)
Excellent written and verbal communication and interpersonal skills and a strong customer service orientation
Role: Head - Network Operations
Industry Type: IT Services & Consulting
Department: Engineering - Hardware & Networks
Employment Type: Full Time, Permanent
Role Category: IT Network
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Service managementVMwareAutomationPowershellShell scriptingDisaster recoveryResourcinghypervisorOperationsSRM",All,"Any Postgraduate","Head - Network Operations","IT Network","Service management, VMware, Automation, Powershell, Shell scripting, Disaster recovery, Resourcing, hypervisor, Operations, SRM, ","Any Graduate"
,"Full Time, Permanent","13 - 15 years","Engineering - Hardware & Networks","IT Services & Consulting","Job description
This leader will be a key member of the CIO leadership team driving Hybrid Infrastructure and Multi-Cloud Transformations.
This role involves extensive collaboration, engagement, and facilitation with internal infrastructure and application teams as well as vendors.
Strong communication and technical skills are required to guide, influence, and properly advise the team.
PRIMARY RESPONSIBILITIES
Provide management direction and leadership of all Platform Teams [VMware + DPR Teams] either via direct line or through dotted line influence.
Drive the Platform Team in design, implement & execute projects related to global Hybrid Infrastructure environment which includes.
On-premises data centers
Multi-Cloud Fabric (AWS, GCP, Azure)
VMware Hypervisor
Data Protection & Recover
Enterprise Storage
Per Application Disaster Recovery
Oversee and provide leadership direction during operational incidents, ensuring necessary resourcing and availability of subject matter expertise as well as proactive, business communications.
This leader will be a key member of the CIO leadership team driving Hybrid Infrastructure and Multi-Cloud Transformations.
Continuously optimize the Hybrid Infrastructure from usage and cost perspective and enable changes via Infrastructure as Code using Terraform
Ensure that requests and incidents are accurately documented, escalated, and resolved.
Responsible for platform operations support related issues on a day-to-day basis, and long-term planning for maintaining technologically current, reliable, and cost-effective solutions.
Demonstrate strong leadership, Communication skills, collaborate well within team, India & US.
Maintain systems in accordance with best practices to improve security, reliability and resilience of the systems in production.
Lead IT Transformation for an u0027Always ONu0027 Production management and drive the team towards Automation using PowerShell / Shell / IaC.
Recruit and retain top talent and coach and mentor team members.
Provide employee leadership, guidance, performance feedback and reviews, and individual/career development.
REQUIRED KNOWLEDGE/SKILLS/ABILITIES
Bachelors/ Master s in computer sciences/ IT / or equivalent work experience
Minimum 13+ years of Experience including 5+ Years of Managerial experience.
Experience in handling IT Engineering / Platform Team [Public Clouds + VMware + Storage + Backup Teams]
Good technical
Should have experience on Infra migration projects like P2V, V2V, Cloud Migrations and Transformation
Experience in design, implement & execute DR plans. Using SRM is a Plus.
Experience in managing Hybrid Infrastructure.
Experience in design, implement & execute Data Protection & Recovery strategy. Experience with Dell Products is a Plus.
Confident communicator at all levels (from technicians to senior executives)
Hands-on technical expertise with implementation and administration of platforms is required.
Hands-On experience with Clouds (AWS, GCP, Azure), VMware, Enterprise Storage tools, DPR & DR.
Strong knowledge of Multi Cloud or Hybrid Infrastructure.
ITIL Service Management Foundation V3 certification (or higher)
VCP + Cloud Professional training/experience is a plus.
Hands-on experience with PowerShell / Shell Scripting, Terraform and Infrastructure as Code (IaC)
Excellent written and verbal communication and interpersonal skills and a strong customer service orientation
Role: System Administrator / Engineer
Industry Type: IT Services & Consulting
Department: Engineering - Hardware & Networks
Employment Type: Full Time, Permanent
Role Category: IT Network
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
Service managementVMwareAutomationPowershellShell scriptingDisaster recoveryResourcinghypervisorOperationsSRM",All,"Any Postgraduate","System Administrator / Engineer","IT Network","Service management, VMware, Automation, Powershell, Shell scripting, Disaster recovery, Resourcing, hypervisor, Operations, SRM, ","Any Graduate"
,"Full Time, Permanent","6 - 11 years","IT & Information Security","IT Services & Consulting","Job description
TCS has always been in the spotlight for being adept in "the next big technologies". What we can offer you is a space to explore varied technologies and quench your techie soul.
We are hiring for Windows/VMWare
Please find the JD below.
Role : Windows/VMWare
Exp :4-12 Years
Location : Hyderabad/Delhi
Roles and Responsibilities:
Required Technical Skill Set**
Windows Server Administration / VM Ware Administration / AD / Azure management
Good to have Technical Skill Set -O365 , Hyper V , DLP , MDM , In tune
Desired Experience Range** 5-12years
Location of Requirement- Delhi/NCR/Hyderabad
Desired Competencies (Technical/Behavioral Competency)
Must-Have**
Windows Server Administration / VM Ware Administration / AD / Azure management
Good-to-Have
Strong written and verbal Communication, negotiation, client Management , MSCE Certification / VMware certification
Responsibility of / Expectations from the Role
Should have AD, GPO knowledge.
Have good knowledge on DNS & DHCP & SCCM configuration.
Having working knowledge on windows server 2012, Windows.
Server 2012 R2, Windows Server 2016 and Windows Server 2019.
FTP, SFTP configuration and management.
ROOTCA internal & external certificate management.
Should have good knowledge on Hyper-V based virtualization.
MS cluster configuration.
Should have good knowledge on P2V and V2V server migration.
AWS infrastructure knowledge, creating and managing virtual.
machine, network, and storage.
Configuring the High availability based on business needs and performing.
VAPT assessment. Perform auditing& then required upgrade or migration related to building, upgrade & maintenance.
Vmware management : Creation of Virtual Machine , VM migration , VM motion . Management of VSpare , Vcenter and ESXI Server
Knowledge and experience (with 3-4 years) in managing VMware Environment
Installation configuration of Red Hat Linux and experience managing server using command lines.
VMware ESX Management and Troubleshooting.
Intermediate knowledge of Switching and vlan, NIC Teaming.
Experience in VMware Guests, Templates, P2V, Capacity Planner, VMotion, DRS, etc
Basic working knowledge of SAN.
Troubleshooting Hardware and Operating system related issues.
Patch administration and deployment.
MCP (in Server OS) is a must. MCSE preferred.
VMware ESX /VSphere) support Experience, VCP certification.
Experience in high level diagnostics & troubleshooting of VMware ESX
Excellent troubleshooting and System Administration skills on VMware products and tools
HA engineering for architecture on VMware, DRS cluster environment.
OS / Patch Release management and maintain configuration of Central ESX OS image.
Problem Management on VMware ESX 4.1 & 5.0 and Virtual Center 4.1 & 5.0
Experience in performance tuning of VMware servers and Virtual sessions and management of servers resources between virtual machines.
Experience in backup and recovery of Virtual machines and virtual servers.
Experience in P2V, VMotion and VMware virtual center
Good Understanding of virtualization technology.
Willing to work in shifts
Should have capable of managing network related projects.
Should have capability to identify and isolate network fault and take up with respective OEMs.
Control on written and oral communication.
Minimum Qualification:
15 years of full-time education
Role: IT Infrastructure Services - Other
Industry Type: IT Services & Consulting
Department: IT & Information Security
Employment Type: Full Time, Permanent
Role Category: IT Infrastructure Services
Education
UG: Any Graduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Windows ServerVmware EsxiVSphereDNSDHCP
VCenter",All,nan,"IT Infrastructure Services - Other","IT Infrastructure Services","Windows Server, Vmware Esxi, VSphere, DNS, DHCP, VCenter, ","Any Graduate"
,"Full Time, Permanent","6 - 10 years","Engineering - Hardware & Networks","IT Services & Consulting","Job description
*Previous experience in cloud migration, cloud build out, infra automation and windows/Linux L2/L3 support
*Previous experience in application migration using VMware HCX, disaster recovery setup using VMware SRM
*Previous experience in VMware ESX, ESXi, within vSphere 4.x and 5.x or above environments with Virtual Center management, Consolidated Backup, DRS, HA, DPM, vMotion as well as Windows Hyper-v on windows 2008, 2008 R2 with Active Directory, SCVMM and clustering
*Should have experience in Physical-to-Virtual (P2V), Virtual-to-Virtual (V2V) and Virtual-to-Physical (V2P) migration of Windows NT, 2000, 2003, & 2008, as well as Linux servers from VMware
*VCP-DCV certified; Hands-on Azure VMware Solution (AVS)- Deploy and Manage; Hands-on HCX installation, configuration and migration
*VMware NSX, vSAN, SRM knowledge
*Azure administrator (AZ-104) certified
*Hands on experience with python or other scripting language is preferred

Role: System Administrator / Engineer
Industry Type: IT Services & Consulting
Department: Engineering - Hardware & Networks
Employment Type: Full Time, Permanent
Role Category: IT Network
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
VMwareAutomationLinuxVSphereDisaster recoverySCVMMActive directoryWindowsPythonSRM",All,"Any Postgraduate","System Administrator / Engineer","IT Network","VMware, Automation, Linux, VSphere, Disaster recovery, SCVMM, Active directory, Windows, Python, SRM, ","Any Graduate"
,"Full Time, Permanent","5 - 10 years",Other,"IT Services & Consulting","Job description
Education- B.E./ BTech
Responsibilities:
Work closely with Project Manager and adhering to all necessary requests.
Understand the E/E car architecture to accommodate requests for the connectivity of the infotainment system in the car including to other cars (V2V) and backend server infrastructure (V2I).
Establish and maintain an overview of the customer s entire automotive cloud ecosystem (incl. Backend technologies), to be able to identify and adapt protocol requirements to achieve the required Connectivity goals.
Support the development of advanced infotainment features/functions and their documentation in the requirements tool chain.
Interface with customers on Connectivity topics through workshops and meetings.
Coordinate with other departments and suppliers steering.
Perform project scheduling, management, and issue tracking for Connectivity technical topics.
Perform problem item investigation and resolution.
Generate technical reports and various presentation materials to communicate issues, achievements, and technical information for project evaluations and information sharing across the organization.
Plan and direct software and hardware updates to test facilities.
Key Requirements:
Domain expertise and experience in Connectivity, covering backend (V2I) and car-to-car (V2V), ideally Celluar-V2X (the role is for applications of communications technology at the higher protocol levels, and not the low-level development of the communication channel itself).
Experience in designing and integrating Backend Services.
Knowledge of Automotive Backend Structures and Backend Communication.
Knowledge of the latest communication protocols (e.g., SOME/IP);
Knowledge of in-vehicle communication and associated tools (e.g., CAN, Ethernet, and Vector Tools).
Preferential Requirements:
Knowledge of the latest IT security requirements (e.g., secure Service Orientated Architecture).
Experience with test case definition and test execution management.
Experience with both Waterfall and Agile Scrum methodologie
Role: Other
Industry Type: IT Services & Consulting
Department: Other
Employment Type: Full Time, Permanent
Role Category: Other
Education
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Key Skills
InfotainmentBackendCommunication protocolsAgile scrumArchitectureEthernetTest executionSiliconManagementAutomotive",All,"Any Postgraduate",Other,Other,"Infotainment, Backend, Communication protocols, Agile scrum, Architecture, Ethernet, Test execution, Silicon, Management, Automotive, ","B.Tech/B.E. in Any Specialization"
,"Full Time, Permanent","4 - 6 years","Engineering - Software & QA","IT Services & Consulting","Job description
Weve been engaged by a large Australian company to provide resources to their Murex development team working on a Murex Commodity implementation project.
We require an experienced Murex Datamart developer with experience on creating and updating Datamart feeders/extractions as well as scheduling jobs in the EOD.
You will be working closely with onshore Luxoft and bank employees.
This position is based in Bangalore, with a requirement to hybrid work from the office.
Responsibilities
- Manage and oversee the end-of-day processes for the Murex system, ensuring all tasks are completed in a timely and accurate manner.
- Develop and maintain batch reporting solutions that provide valuable insights and reports on trading and risk management data.
- Work with Datamart to create and maintain a centralized data repository for analytical and reporting purposes.
- Utilize Control-M for job scheduling and automation of end-of-day processes, monitoring and troubleshooting any issues that may arise.
- Collaborate with other teams, including trading and risk management, to ensure data accuracy and integrity.
- Technical Analysis of changes, effort estimation, solution design, development and unit testing
- Work with the QA team to ensure timely defect remediation and proper test coverage
- End-to-end ownership of tasks in cooperation with Business Analysts and Testing team.
- Drive solution design discussions with the wider team and mentor/train more junior members of the team
- You will be part of a hybrid work arrangement, which includes a minimum requirement of working from the office.
Skills
Must have
- 4+ years of Murex Development experience
- Minimum 4 Years of Murex Datamart experience on Murex 3.1
Batch Reporting
- Good exposure to Datamart architecture and solution design
- Good experience with EOD
- Good experience with CTRL-M or Autosys scheduling
Advanced SQL
- Advanced financial market understanding covering different asset classes
Unix
- Ability to design, develop, and maintain batch reporting solutions that provide insights into trading and risk management data generated at the end of the trading day.
Nice to have
- MxML Experience
- DevOps on Murex experience (GIT, Jenkins, JIRA etc)
- Technical solution design experience and start-to-end solution ownership
- Experience with Commodities
- Version Control (Git), Jenkins
- Market data (RTBS, MDRS)
Role: Software Development - Other
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
UnixAutomationControl-MUnit testingTroubleshootingRisk managementJIRAMonitoringMurexSQL",All,"Any Postgraduate","Software Development - Other","Software Development","Unix, Automation, Control-M, Unit testing, Troubleshooting, Risk management, JIRA, Monitoring, Murex, SQL, ","Any Graduate"
,"Full Time, Permanent","2 - 7 years","Engineering - Software & QA","IT Services & Consulting","Job description
Demonstrable experience as Datamart Developer with a minimum of 2-3 years in Murex or related platforms Datamart exposure: Independently Design, build and Test Datamart reports.
Must have worked on Murex implementationupgradeNew Product InitiationRegulatory projects before and should have a clear understanding about the various stages of a project life cycle.
Strong analytical and debugging ability, modifying and enhancing existing complex Datamart objects UnixShell Scripting:
3-4 years of good experience in shell script
Should know how to debug and navigate through existing code and understand dependencies independently.
High competence with SQL PLSQL and RDBMS concepts WindowsUnix OS.
Should be good at OS commands and should have good understanding of Murex setupconfigurations in these environments.
Must possess good understanding of both exchange traded and OTC Derivatives with specific focus on Credit and Rates products with clarity on their life cycle.
Role: Software Development - Other
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
RDBMSAnalyticalShell scriptingDebuggingWindowsUnix shell scriptingMurexProject life cycleSQLOTC",All,"Any Postgraduate","Software Development - Other","Software Development","RDBMS, Analytical, Shell scripting, Debugging, Windows, Unix shell scripting, Murex, Project life cycle, SQL, OTC, ","Any Graduate"
,"Full Time, Permanent","3 - 5 years","Engineering - Software & QA","IT Services & Consulting","Job description
In Group T&O, we manage the majority of the Banks operational processes and inspire to delight our business partners through our multiple banking delivery channels
  Responsibilities
Analyze, design, and configure a database for Murex DataMart implementation.
Ability to carry out configuration for accounting, transaction, compliance, PL, cash flow, etc reports.
Skills
Must have
3 to 5 years of experience in the Murex Datamart Module
Basic understanding of Financial products
Knowledge of SQL, Murex Datamodel
Experience in supporting Treasury & Markets Applications is a plus.
Working in a very collaborative and agile team, you are expected to work collaborate, negotiate, make trade-offs, and handle conflicts. Strong capability to solve problems, and be an out-of-box thinker who frequently comes up with new ideas.
SQL language, preferably in the Sybase environment.Should have knowledge of the procedure, function, trigger, index, and tuning Market Data experience Unix system commands and shell/Perl script programming.
Should have experience in creating technical/functional documents along with requirement analysis/client-facing roles.
including MDRS, MDCS, and RTBS.
Detailed understanding and working knowledge of the configuration of Murex DataMart objects.
Nice to have
Excellent communication skills
Languages
English: C2 Proficient
Role: Software Development - Other
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
UnixAgileCash flowPerlmarket dataManager Quality ControlSyBaseOperationsMurexSQL",All,"Any Postgraduate","Software Development - Other","Software Development","Unix, Agile, Cash flow, Perl, market data, Manager Quality Control, SyBase, Operations, Murex, SQL, ","Any Graduate"
,"Full Time, Permanent","4 - 8 years","Engineering - Software & QA","IT Services & Consulting","Job description
A subsidiary entity of large Asian bank is currently having Mx
2 instance for Treasury operations
Bank is looking to upgrade the instance with Mx3
1 binary under this project
Project duration is expected to be 12 months and to run with onshore/offshore delivery model
Responsibilities
Understand the Murex system setup at the client, organisation of the support teams, end of day procedures and the report delivery process
Collect and provide detailed technical specifications / business requirement specifications
Participates in peer review of requirements, technical and/or testing documentation and assists mentors junior members with same
Analyse datamart setup and the table structures for the purpose of identifying redundant objects, to minimise execution time of batches, and to seek possibility of reuse of objects
Segregate reports by users, products, creation classes, fields needed, complexity and frequency of execution
Develop a generic datamodel and then create datamart objects as required for the reports
Execute processing scripts and batches manually or through the use of a scheduling tool like Control-M
Reconcile report extraction output with the onscreen / mreport output
Analyse differences caused by adding or removing some filter conditions / dynamic table flags / launcher flags
Create and suggest processes, templates and tools to streamline the development, testing and implementation phases
Analyses issues during planning and test execution phases
Provide relevant and accurate information about defects and help the business reproduce errors
Prepare and send effective periodic and timely status reports
Track the testing progress and escalate the issue well in advance
Assists in the preparation and execution of test plans
Identifies the conditions that create errors to occur and escalates outstanding issues for clarification and resolution
Escalates identified issues/risks in a timely fashion to the team lead.
Assist team lead with effort estimation related to the development and UAT
Ensures test documentation and deliverables are consistent with defined standards
Coordinate with development and infrastructure team for availability of Mx environments and database
Create and maintain report delivery plan with relevant traceability
Skills
Must have
4-8 years of experience on MX3.1 Datamart
Understanding of the Murex system as a whole
Good understanding of capital market products
In-depth understanding of MX reporting architecture, MX datamodel, and MX Datamart configuration
Familiarity with mxres configuration files, and launcher flags
Thorough knowledge of Datamart objects - dynamic tables, feeders, batch of feeders, scanner templates etc
Exposed to Mreports; Mreport to Datamart migration experience is desirable
Experience with Simulation and Risk Matrices
Experience with Market risk and credit risk report development
Experience with RDBMS, eg Oracle, Sybase
Excellent SQL programming skills
Unix experience necessary; shell programming experience highly desirable; awk, sed, and Perl scripting experience would be a bonus
Experience with at least one reporting tool, preferably Actuate eRD Pro
Other programming experience a plus, esp MS Excel VBA
Product knowledge (Any one or more, FX mandatory) - FX, IRD, FI, EQD, CRD
Technical skills - Very good knowledge of SQL (Sybase and Oracle), Atleast one reporting tool (Actuate, Crystal reports, Micro Strategy), Basic unix commands
Understanding of Trade Life Cycle
Should possess an understanding of financial markets
Basic knowledge on financial instruments such as Interest Rate Derivatives, Credit Derivatives, Currency Derivatives, Swaps, Futures, Options, FRA, etc
Nice to have
Murex knowledge around - Pricing, Trade repository, Trade validation, MDCS, MxML exchange and workflows
Technical skills - PL/SQL, Shell scripting, Java, Excel VBA
Good to have MRA/MRE or MLC module report development knowledge
Role: Data warehouse Developer
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: DBA / Data warehousing
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
UnixSimulationRDBMSShell scriptingControl-MPLSQLCapital marketOracleSyBaseMurex",All,"Any Postgraduate","Data warehouse Developer","DBA / Data warehousing","Unix, Simulation, RDBMS, Shell scripting, Control-M, PLSQL, Capital market, Oracle, SyBase, Murex, ","Any Graduate"
,"Full Time, Permanent","3 - 7 years","Engineering - Software & QA","IT Services & Consulting","Job description
Weve been engaged by a large Australian company to provide resources to their Murex development team working on a Murex Commodity implementation project.
We require an experienced Murex Datamart developer with experience on creating and updating Datamart feeders/extractions as well as scheduling jobs in the EOD.
You will be working closely with onshore Luxoft and bank employees.
This position is based in Bangalore, with a requirement to hybrid work from the office.
Responsibilities
- Manage and oversee the end-of-day processes for the Murex system, ensuring all tasks are completed in a timely and accurate manner.
- Develop and maintain batch reporting solutions that provide valuable insights and reports on trading and risk management data.
- Work with Datamart to create and maintain a centralized data repository for analytical and reporting purposes.
- Utilize Control-M for job scheduling and automation of end-of-day processes, monitoring and troubleshooting any issues that may arise.
- Collaborate with other teams, including trading and risk management, to ensure data accuracy and integrity.
- Technical Analysis of changes, effort estimation, solution design, development and unit testing
- Work with the QA team to ensure timely defect remediation and proper test coverage
- End-to-end ownership of tasks in cooperation with Business Analysts and Testing team.
- Drive solution design discussions with the wider team and mentor/train more junior members of the team
- You will be part of a hybrid work arrangement, which includes a minimum requirement of working from the office.
Skills
Must have
4+ years of Murex Development experience
Minimum 4 Years of Murex Datamart experience on Murex 3.1
Batch Reporting
Good exposure to Datamart architecture and solution design
Good experience with EOD
Good experience with CTRL-M or Autosys scheduling
Advanced SQL
Advanced financial market understanding covering different asset classes Unix
Ability to design, develop, and maintain batch reporting solutions that provide insights into trading and risk management data generated at the end of the trading day.
Nice to have
MxML Experience
DevOps on Murex experience (GIT, Jenkins, JIRA etc)
Technical solution design experience and start-to-end solution ownership
Experience with Commodities
Version Control (Git), Jenkins
Market data (RTBS, MDRS)
Role: Software Development - Other
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: Any Graduate
PG: Any Postgraduate
Key Skills
UnixAutomationControl-MUnit testingTroubleshootingRisk managementJIRAMonitoringMurexSQL",All,"Any Postgraduate","Software Development - Other","Software Development","Unix, Automation, Control-M, Unit testing, Troubleshooting, Risk management, JIRA, Monitoring, Murex, SQL, ","Any Graduate"
,"Full Time, Permanent","7 - 10 years","Engineering - Software & QA","IT Services & Consulting","Job description
Must-Have**
(Ideally should not be
more than 3-5) DB2 installation on LUW OS platform , configuring HADR databases with TSA cluster,DB2 DB upgrades and applying Fix-Pack, Hands on experience in writing/troubleshooting shell scripts/perl/python

Good-to-Have
Knowledge of Cloud computing technologies


Role: Database Administrator
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: DBA / Data warehousing
Education
UG: Any Graduate
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Knowledge of handling L2/L3 activitiesShell ScriptingPerlPython",All,nan,"Database Administrator","DBA / Data warehousing","Knowledge of handling L2/L3 activities, Shell Scripting, Perl, Python, ","Any Graduate"
,"Full Time, Permanent","10 - 12 years","Engineering - Software & QA","IT Services & Consulting","Job description
Responsibilities
Mainframe Database performance tuning and troubleshooting
Setup and maintenance of Data replication services
24*7 support to ensure continuous service availability and operation stability
Explore and help organization to implement best technical practises / recommendations to reduce / meet cost targets
Perform Health check activities, monitoring and follow up using vendor IBM and Inhouse tools.
Automate BAU work to improve efficiency and productivity.
10+ years of rich hands-on experience with DB2 SQLs performance tuning in Data sharing environments
7+ years hands on experience with the replication and publishing technologies on z/OS i.e. Q Replication, SQL Replication, Data Event Publishing, and Change Data Capture
7+ years of good experience with Application programming and development, design, analysis, and coding: PL/1, DB2, REXX, JCL, Java
5+ years of rich working experience with IBM products i.e., QMON, Admin tool, DB2 log analysis tool, Omegamon etc.
Working Experience with IBM DB2 Analytics Accelerator (IDAA)
Experience with ITIL processes and Tools
Strong analytical, problem-solving skills, written, verbal communication and interpersonal skills.
Ability to learn new technologies and methodologies quickly
Educational Requirements
Master Of Engineering,Bachelor Of Science,BTech,Bachelor of Engineering
Service Line
Cloud & Infrastructure Services
Technical and Professional Requirements:
IBM DB2 DBA Certification
Programming skills with Python, .Net
Experience with Banking Domain
Preferred Skills:
Database Administration->DB2 DBA Zos(DB2 Zos)
* Location of posting is subject to business requirements
Role: Database Administrator
Industry Type: IT Services & Consulting
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: DBA / Data warehousing
Education
UG: B.Sc in Chemistry, B.Tech/B.E. in Production/Industrial
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
JCLDatabase administrationTroubleshootingSQLPython
Performance tuningCodingREXX",All,nan,"Database Administrator","DBA / Data warehousing","JCL, Database administration, Troubleshooting, SQL, Python, Performance tuning, Coding, REXX, ","B.Sc in Chemistry, B.Tech/B.E. in Production/Industrial"
,"Full Time, Permanent","8 - 12 years","IT & Information Security","IT Services & Consulting","Job description
Job description
Skill: DBA DB2
Location: Bangalore/Chennai
Experience: 8- 14 Years
Notice Period: Immediate to 50 Days

If interested, please share the below details.
Candidate Name :
Email ID :
Phone Number :
Total Experience :
Relevant Expereince in Oracle DBA:
Preferred Location :
Official Notice Period :
Last Working Day - if Serving :
Current Company :
Current CTC :
Expected CTC-
Also, please share your updated CV.
You can reach me with the below email-
Email ID- divyanshi_gupta@hcl.com


Thanks and Regards,
Divyanshi Gupta
Divyanshi_gupta@hcl.com

Role: IT Support - Other
Industry Type: IT Services & Consulting
Department: IT & Information Security
Employment Type: Full Time, Permanent
Role Category: IT Support
Education
UG: B.Tech/B.E. in Any Specialization
Key Skills
Skills highlighted with ‘‘ are preferred keyskills
Oracle DBAOracle
DBA",All,nan,"IT Support - Other","IT Support","Oracle DBA, Oracle, DBA, ","B.Tech/B.E. in Any Specialization"
